Total Cycles,Elapsed Cycles,Step,PC:Cycle Start Time (s),PC:Frequency (Hz),"Position(8800 (0,1):Position):Maximum (mm)","Position(8800 (0,1):Position):Minimum (mm)","Load(8800 (0,1):Load):Maximum (kN)","Load(8800 (0,1):Load):Minimum (kN)","Strain(8800 (0,1):Axial Strain):Maximum (%)","Strain(8800 (0,1):Axial Strain):Minimum (%)","Strain(8800 (0,1):Axial Strain):Amplitude (%)",width,thickness
147,147,2,50.868,3,38.34538017,33.67087305,2.404632978,-2.015406266,1.885291219,-1.895595931,1.890443575,,
148,148,2,51.202,3,38.34534441,33.67106304,2.399835363,-2.014682069,1.88565518,-1.895100467,1.890377824,,
149,149,2,51.535,3,38.3469582,33.67133573,2.401119657,-2.015278488,1.886399866,-1.896693215,1.89154654,,
150,150,2,51.868,3,38.34624742,33.67140279,2.401983365,-2.01240629,1.88670329,-1.896474727,1.891589009,,
151,151,2,52.202,3,38.34505384,33.67312611,2.397756837,-2.013810538,1.885852993,-1.895225078,1.890539036,,
152,152,2,52.535,3,38.34618036,33.67193476,2.398635074,-2.014514618,1.886658587,-1.895985596,1.891322092,,
153,153,2,52.868,3,38.3456931,33.67336304,2.399733849,-2.011468075,1.886362426,-1.896653168,1.891507797,,
154,154,2,53.202,3,38.34518348,33.67371843,2.395583689,-2.014178969,1.885542862,-1.894807287,1.890175075,,
155,155,2,53.535,3,38.34556793,33.67408276,2.397193573,-2.010717429,1.885591478,-1.895128593,1.890360035,,
156,156,2,53.868,3,38.34462468,33.67358879,2.397901379,-2.011344768,1.886342496,-1.895488084,1.89091529,,
157,157,2,54.202,3,38.34555899,33.6742124,2.394987829,-2.010032348,1.886987903,-1.895140887,1.891064395,,
158,158,2,54.535,3,38.34705208,33.67493883,2.398944087,-2.010301501,1.887187392,-1.895624988,1.89140619,,
159,159,2,54.868,3,38.34621166,33.67569209,2.394445613,-2.00902652,1.887181804,-1.895951324,1.891566564,,
160,160,2,55.202,3,38.34618483,33.6760676,2.39366591,-2.010373026,1.888065815,-1.8945698,1.891317808,,
161,161,2,55.535,3,38.34640835,33.67430851,2.395119891,-2.007912099,1.887535148,-1.894605004,1.891070076,,
162,162,2,55.868,3,38.34622507,33.67695943,2.392982133,-2.006880753,1.887432143,-1.894852549,1.891142346,,
163,163,2,56.202,3,38.34501807,33.67699966,2.391732298,-2.007494122,1.887281642,-1.895044588,1.891163115,,
164,164,2,56.535,3,38.34719513,33.67800549,2.394199558,-2.007248998,1.887762949,-1.895464801,1.891613875,,
165,165,2,56.868,3,38.34616695,33.678495,2.391662821,-2.005708404,1.887298033,-1.895492368,1.891395201,,
166,166,2,57.202,3,38.34592108,33.67918343,2.389570884,-2.003191225,1.888513595,-1.893484623,1.890999109,,
167,167,2,57.535,3,38.34676151,33.6781329,2.392293885,-2.007121406,1.887411654,-1.895023726,1.89121769,,
168,168,2,57.868,3,38.3475617,33.67975563,2.390925027,-2.005653828,1.889048361,-1.894524165,1.891786263,,
169,169,2,58.202,3,38.34723984,33.68080617,2.389893122,-2.004048415,1.889108338,-1.893706091,1.891407215,,
170,170,2,58.535,3,38.34746782,33.68054242,2.39039734,-2.005155198,1.887806908,-1.894731105,1.891269006,,
171,171,2,58.868,3,38.34574674,33.68136272,2.389995568,-2.006223425,1.88764821,-1.895091713,1.891369962,,
172,172,2,59.202,3,38.34532206,33.68164659,2.388461865,-2.005464025,1.888252452,-1.893913217,1.891082835,,
173,173,2,59.535,3,38.34551875,33.68210257,2.387386188,-2.00652089,1.887147345,-1.894791455,1.8909694,,
174,174,2,59.868,3,38.34658269,33.68236185,2.388731577,-2.006569505,1.888706938,-1.894789219,1.891748079,,
175,175,2,60.202,3,38.34672575,33.68278653,2.385145053,-2.004454471,1.888905682,-1.894604445,1.891755064,,
176,176,2,60.535,3,38.34680621,33.68210033,2.38606818,-2.008833736,1.888542653,-1.89505446,1.891798556,,
177,177,2,60.868,3,38.34563051,33.68276194,2.384836972,-2.004378662,1.888360486,-1.895458282,1.891909384,,
178,178,2,61.202,3,38.34517901,33.68271053,2.383349091,-2.004707605,1.888559975,-1.895242215,1.891901095,,
179,179,2,61.535,3,38.34627871,33.6830704,2.384281345,-2.004731447,1.888600395,-1.895313927,1.891957161,,
180,180,2,61.868,3,38.34662293,33.68403599,2.382634208,-2.001940832,1.889937588,-1.895283752,1.89261067,,
181,181,2,62.202,3,38.34536229,33.68422822,2.380343713,-2.002858557,1.889058419,-1.8945942,1.89182631,,
182,182,2,62.535,3,38.34622507,33.68555815,2.382146008,-2.001940086,1.88916161,-1.894347959,1.891754784,,
183,183,2,62.868,3,38.34673916,33.68446515,2.381720766,-2.001116984,1.889969811,-1.895071969,1.89252089,,
184,184,2,63.202,3,38.34640835,33.68386835,2.379033528,-2.001180872,1.890058473,-1.89430549,1.892181982,,
185,185,2,63.535,3,38.34692691,33.68479372,2.38199234,-2.002045885,1.890044131,-1.894685656,1.892364894,,
186,186,2,63.868,3,38.34614907,33.68398905,2.381061949,-2.001655847,1.889859729,-1.895676956,1.892768343,,
187,187,2,64.202,3,38.3447722,33.68503959,2.3780955,-2.00069882,1.889580705,-1.894348518,1.891964611,,
188,188,2,64.535,3,38.34685986,33.68446068,2.380555868,-2.00190153,1.889496513,-1.894606308,1.89205141,,
189,189,2,64.868,3,38.34621166,33.68523852,2.38008704,-2.002533711,1.890118637,-1.89486447,1.892491553,,
190,190,2,65.202,3,38.34574227,33.68736864,2.377691865,-1.998898014,1.890957199,-1.892888576,1.891922888,,
191,191,2,65.535,3,38.34571545,33.68638516,2.379297651,-2.001314051,1.889540472,-1.893415705,1.891478088,,
192,192,2,65.868,3,38.34684198,33.68676738,2.378828265,-2.001953125,1.890694939,-1.8932788,1.89198687,,
193,193,2,66.202,3,38.34656928,33.68688584,2.375492081,-1.999005117,1.890644461,-1.892603033,1.891623747,,
194,194,2,66.535,3,38.34583615,33.68727923,2.378446236,-2.002181485,1.889981918,-1.892886341,1.89143413,,
195,195,2,66.868,3,38.34658717,33.68679196,2.377072163,-2.001214772,1.891201392,-1.89244508,1.891823236,,
196,196,2,67.202,3,38.34550534,33.68705124,2.374383807,-2.000347152,1.890889399,-1.892972954,1.891931177,,
197,197,2,67.535,3,38.34394072,33.68704007,2.376107126,-2.000506967,1.88980981,-1.892551996,1.891180903,,
198,198,2,67.868,3,38.34526394,33.68794308,2.375351638,-2.001137286,1.890933544,-1.892923035,1.89192829,,
199,199,2,68.202,3,38.3457378,33.68770838,2.371307276,-2.000278234,1.890353702,-1.891789616,1.891071659,,
200,200,2,68.535,3,38.34554557,33.68739546,2.372912318,-1.99863594,1.890702203,-1.892481216,1.89159171,,
201,201,2,68.868,3,38.34609096,33.6884907,2.373784035,-1.997737214,1.891535178,-1.892727085,1.892131132,,
202,202,2,69.202,3,38.34525053,33.68880362,2.369517274,-1.997362822,1.891087026,-1.891537227,1.891312127,,
203,203,2,69.535,3,38.34633683,33.68923277,2.372858301,-1.998109929,1.891796507,-1.892487921,1.892142214,,
204,204,2,69.868,3,38.34646647,33.68982062,2.37176083,-1.996820234,1.892540075,-1.892721124,1.8926306,,
205,205,2,70.202,3,38.3462653,33.68883715,2.370590158,-1.996826567,1.891753853,-1.891952783,1.891853318,,
206,206,2,70.535,3,38.34640388,33.68965299,2.36961022,-1.997275278,1.892357722,-1.89138151,1.891869616,,
207,207,2,70.868,3,38.34623401,33.68967757,2.369362488,-1.997099817,1.892341517,-1.892378398,1.892359958,,
208,208,2,71.202,3,38.34439669,33.69044424,2.36823,-1.995867491,1.890261874,-1.891098947,1.89068041,,
209,209,2,71.535,3,38.34604178,33.69101868,2.369615436,-1.996514574,1.892042004,-1.88973102,1.890886512,,
210,210,2,71.868,3,38.3447275,33.69127125,2.370292507,-1.998556405,1.892174252,-1.891371266,1.891772759,,
211,211,2,72.202,3,38.34466939,33.69069681,2.365377173,-1.997604407,1.89087338,-1.889946156,1.890409768,,
212,212,2,72.535,3,38.34499572,33.6913249,2.368709445,-1.998046599,1.892131225,-1.889946342,1.891038783,,
213,213,2,72.868,3,38.34473197,33.69148806,2.366185747,-1.999105699,1.892256953,-1.891362884,1.891809918,,
214,214,2,73.202,3,38.34510301,33.69075493,2.366189472,-1.996590756,1.891697228,-1.890004456,1.890850842,,
215,215,2,73.535,3,38.34640835,33.6901939,2.366673574,-1.99835021,1.892742359,-1.890292049,1.891517204,,
216,216,2,73.868,3,38.34615354,33.69086669,2.366399765,-1.998389699,1.893784881,-1.891774342,1.892779612,,
217,217,2,74.202,3,38.34457551,33.69126678,2.363364771,-1.995122246,1.891851083,-1.891224117,1.8915376,,
218,218,2,74.535,3,38.34626083,33.6911662,2.364852093,-1.998228393,1.893144317,-1.890667186,1.891905752,,
219,219,2,74.868,3,38.34603731,33.69126455,2.365107089,-1.994794235,1.89344737,-1.891677484,1.892562427,,
220,220,2,75.202,3,38.34508513,33.69113267,2.360521071,-1.994722709,1.892619052,-1.891859651,1.892239351,,
