Total Time (s),Cycle Elapsed Time (s),Total Cycles,Elapsed Cycles,Step,"Total Cycle Count(8800 (0,1) Waveform)","Position(8800 (0,1):Position) (mm)","Load(8800 (0,1):Load) (kN)","Strain(8800 (0,1):Axial Strain) (%)","Strain(8800 (0,1):Transverse Strain) (%)",width,thickness
1.278,1.278,1,1,1,0,45.66936676,0.001995312,0.000280724,0.001528991,,
1.288,1.288,1,1,1,0,45.66944275,0.000467291,0.000232714,0.001657255,,
1.298,1.298,1,1,1,0,45.66938017,0.001219846,0.000174833,0.00174701,,
1.308,1.308,1,1,1,0,45.66916112,0.00205934,0.000250433,0.001216605,,
1.318,1.318,1,1,1,0,45.67004625,0.000153389,0.000599073,0.002296857,,
1.328,1.328,1,1,1,0,45.66959027,0.001541246,0.000702683,0.001709955,,
1.338,1.338,1,1,1,0,45.66945169,0.001683878,0.000528037,0.001808331,,
1.348,1.348,1,1,1,0,45.66927735,0.000726245,0.00046778,0.001978138,,
1.354,1.354,1,1,1,0,45.67093138,0.000307406,0.000334531,0.001841998,,
1.364,1.364,1,1,1,0,45.67028765,0.002152333,0.00010638,0.001662594,,
1.374,1.374,1,1,1,0,45.66882584,0.000995654,0.00020531,0.001953287,,
1.384,1.384,1,1,1,0,45.669179,0.000196858,-2.82E-05,0.001756411,,
1.394,1.394,1,1,1,0,45.67039047,0.001670141,0.000508805,0.001774221,,
1.404,1.404,1,1,1,0,45.66942934,0.001229485,0.000516232,0.001583323,,
1.415,1.415,1,1,1,0,45.66943828,0.000994559,0.000140863,0.001845528,,
1.425,1.425,1,1,1,0,45.66976909,0.000580726,0.000348175,0.001980001,,
1.435,1.435,1,1,1,0,45.66984508,0.002494594,0.000215881,0.0015101,,
1.445,1.445,1,1,1,0,45.66935782,0.00030126,0.000249618,0.002039033,,
1.455,1.455,1,1,1,0,45.66935782,0.000486593,0.000353321,0.002094642,,
1.465,1.465,1,1,1,0,45.67010883,0.001771166,0.000252691,0.001965331,,
1.475,1.475,1,1,1,0,45.66971097,0.001270068,0.000112597,0.002000594,,
1.485,1.485,1,1,1,0,45.66953663,0.001126505,0.000343053,0.001835612,,
1.495,1.495,1,1,1,0,45.66930864,0.001707161,0.000365917,0.001944666,,
1.505,1.505,1,1,1,0,45.66973332,0.001966627,0.000203797,0.001999601,,
1.515,1.515,1,1,1,0,45.66950534,0.000569643,0.000430504,0.001701547,,
1.525,1.525,1,1,1,0,45.6698272,0.001254468,4.56E-05,0.001754425,,
1.535,1.535,1,1,1,0,45.66902254,0.001155003,0.000365288,0.001545612,,
1.546,1.546,1,1,1,0,45.66911642,0.000662799,7.54E-06,0.001799639,,
1.556,1.556,1,1,1,0,45.66931311,0.00104832,0.000204821,0.001620023,,
1.566,1.566,1,1,1,0,45.66969756,0.000657607,0.00048317,0.002167191,,
1.58,1.58,1,1,1,0,45.66968415,0.001777755,0.000466616,0.001766558,,
1.59,1.59,1,1,1,0,45.6700239,0.001493399,0.000270829,0.001908409,,
1.6,1.6,1,1,1,0,45.67021165,-0.000143331,0.000291201,0.001927354,,
1.61,1.61,1,1,1,0,45.66897337,0.001416891,7.42E-05,0.001697202,,
1.62,1.62,1,1,1,0,45.66967074,0.001157308,5.44E-05,0.001776757,,
1.63,1.63,1,1,1,0,45.66866491,-8.20E-05,0.000458909,0.001715082,,
1.64,1.64,1,1,1,0,45.66941593,0.001532398,0.000104588,0.001660537,,
1.65,1.65,1,1,1,0,45.66894207,0.001832191,0.000218907,0.002015193,,
1.66,1.66,1,1,1,0,45.66957239,-3.25E-05,0.000102934,0.001985109,,
1.671,1.671,1,1,1,0,45.67008201,-0.000150152,0.000506453,0.00198683,,
1.681,1.681,1,1,1,0,45.67014907,0.001354888,0.000365009,0.001617557,,
1.691,1.691,1,1,1,0,45.66939358,0.00095258,0.000268873,0.001835222,,
1.701,1.701,1,1,1,0,45.66950534,0.00051877,-9.96E-05,0.002174322,,
1.711,1.711,1,1,1,0,45.66938911,0.001926813,0.000157976,0.00166898,,
1.721,1.721,1,1,1,0,45.66931311,0.001036469,0.000102259,0.001733973,,
1.731,1.731,1,1,1,0,45.66891972,1.36E-05,-0.000229781,0.001670967,,
1.741,1.741,1,1,1,0,45.6700239,0.002044695,-0.000167172,0.002080203,,
1.751,1.751,1,1,1,0,45.66945169,0.00096513,6.93E-05,0.001807728,,
1.769,1.769,1,1,1,0,45.66883031,0.000670622,7.02E-05,0.001441702,,
1.779,1.779,1,1,1,0,45.66944722,0.000243238,0.000357116,0.001537966,,
1.789,1.789,1,1,1,0,45.66946957,0.001728651,0.000434136,0.001764216,,
1.8,1.8,1,1,1,0,45.66943828,0.00188218,2.52E-05,0.001844517,,
1.81,1.81,1,1,1,0,45.67005072,0.000606664,0.000106078,0.001773493,,
1.82,1.82,1,1,1,0,45.6694964,0.001582946,3.53E-05,0.001928187,,
1.83,1.83,1,1,1,0,45.66947851,0.001461501,0.000529224,0.001583607,,
1.84,1.84,1,1,1,0,45.66942487,0.001454656,-0.000141002,0.001623961,,
1.85,1.85,1,1,1,0,45.66927288,0.000503915,-4.99E-05,0.001914848,,
1.867,1.867,1,1,1,0,45.66977356,0.002073986,0.000195368,0.001590826,,
1.877,1.877,1,1,1,0,45.66976462,0.001308112,0.0002719,0.001746922,,
1.887,1.887,1,1,1,0,45.66906724,0.00012035,0.000472204,0.001599216,,
1.897,1.897,1,1,1,0,45.66931311,0.001437566,-9.93E-05,0.00161369,,
1.907,1.907,1,1,1,0,45.6694964,0.000937353,5.51E-05,0.001806965,,
1.917,1.917,1,1,1,0,45.66938464,0.000735419,0.00010943,0.001700093,,
1.927,1.927,1,1,1,0,45.66951428,0.000670296,-0.000147964,0.001683348,,
1.937,1.937,1,1,1,0,45.66912536,0.001206179,0.000231573,0.001667331,,
1.947,1.947,1,1,1,0,45.67006413,0.000858074,0.000232062,0.001929269,,
1.957,1.957,1,1,1,0,45.66945616,0.001093489,0.000171899,0.00203976,,
1.967,1.967,1,1,1,0,45.67002837,0.000468059,3.55E-05,0.001486189,,
1.977,1.977,1,1,1,0,45.6688482,0.001872913,-0.00024091,0.001869137,,
1.987,1.987,1,1,1,0,45.66957239,0.001000497,-4.17E-05,0.00177807,,
1.997,1.997,1,1,1,0,45.66997472,0.000802102,0.000113039,0.001993322,,
2.002,2.002,1,1,1,0,45.6698272,-0.001241453,-2.22E-05,0.001692217,,
2.013,2.013,1,1,1,0,45.66957239,-0.000266568,-0.000171596,0.002049694,,
2.023,2.023,1,1,1,0,45.66896889,0.001353864,6.19E-05,0.001893509,,
2.034,2.034,1,1,1,0,45.67008648,0.001550675,2.47E-05,0.001876268,,
2.045,2.045,1,1,1,0,45.66924606,0.001232047,8.63E-05,0.001518543,,
2.055,2.055,1,1,1,0,45.66944722,0.001413515,0.000258116,0.001917066,,
2.066,2.066,1,1,1,0,45.6695858,0.001408742,0.000205543,0.001938245,,
2.076,2.076,1,1,1,0,45.66916112,0.001011882,1.16E-05,0.002047512,,
2.087,2.087,1,1,1,0,45.66984955,0.000290177,-7.43E-05,0.001977553,,
2.098,2.098,1,1,1,0,45.6692997,0.0003197,-3.02E-05,0.002007459,,
2.108,2.108,1,1,1,0,45.66935782,0.001635449,0.000366638,0.001543235,,
2.119,2.119,1,1,1,0,45.66988085,0.002116896,0.000258675,0.001633983,,
2.128,2.128,1,1,1,0,45.66887055,-0.000164076,-0.000105798,0.001102797,,
2.148,2.148,1,1,1,0,45.67003731,0.001505879,-0.000237557,0.002049481,,
2.159,2.159,1,1,1,0,45.66936229,0.000929204,-3.95E-05,0.001334102,,
