"Total Time (s)","Cycle Elapsed Time (s)","Total Cycles","Elapsed Cycles","Step","Total Cycle Count(8800 (0,1) Waveform)","Position(8800 (0,1):Position) (mm)","Load(8800 (0,1):Load) (kN)","Strain(8800 (0,1):Axial Strain) (%)","Strain(8800 (0,1):Transverse Strain) (%)",
1.586,1.586,1,1,1,0,30.2967210311761,0.0221742782741785,0.00750448101100139,0.017045570142732,
1.596,1.596,1,1,1,0,30.2967746753586,0.0233872095122933,0.00759188563602753,0.0169829341228671,
1.606,1.606,1,1,1,0,30.2977067430285,0.0223213341087103,0.00790290081479661,0.0169883120525976,
1.616,1.616,1,1,1,0,30.2963142294593,0.0205803429707885,0.00736298982658908,0.017098053767198,
1.628,1.628,1,1,1,0,30.2964326936955,0.020337593741715,0.00752531935394183,0.0169153461479037,
1.638,1.638,1,1,1,0,30.2965109247949,0.0238212058320642,0.00764073350584768,0.017003700386183,
1.648,1.648,1,1,1,0,30.2966271538568,0.023001478984952,0.0075808727464065,0.016989607725437,
1.658,1.658,1,1,1,0,30.2966137428112,0.0212571350857615,0.00733765785215422,0.0168152776072411,
1.669,1.669,1,1,1,0,30.2971747715526,0.0209453050047159,0.00740170956324823,0.0170476822669496,
1.679,1.679,1,1,1,0,30.297161360507,0.0231646001338959,0.00753074430802576,0.0171703097141717,
1.689,1.689,1,1,1,0,30.2974854607759,0.022698100656271,0.00750671618521623,0.0167672489674693,
1.699,1.699,1,1,1,0,30.2962851721938,0.0209836522117257,0.0077255537106879,0.0171252628968248,
1.709,1.709,1,1,1,0,30.2964729268323,0.0228097196668386,0.00730494514619745,0.0171193879966901,
1.719,1.719,1,1,1,0,30.2968797285492,0.0228915829211473,0.00746429444126375,0.0169506842934269,
1.729,1.729,1,1,1,0,30.2969937224369,0.0217919005081058,0.00742881105060317,0.0174756980275171,
1.739,1.739,1,1,1,0,30.2972395916064,0.0231469050049782,0.00776704413205087,0.0169696401645563,
1.749,1.749,1,1,1,0,30.2970652480135,0.0226757256314158,0.00730233744294681,0.017279554458368,
1.759,1.759,1,1,1,0,30.2969423134287,0.0218785367906094,0.00765826565359533,0.0168925920029712,
1.769,1.769,1,1,1,0,30.2966897387364,0.0227943528443575,0.00763938308809288,0.0169595232670434,
1.779,1.779,1,1,1,0,30.2969266672088,0.0222852220758796,0.00734468933770508,0.0170862862179857,
1.789,1.789,1,1,1,0,30.2968774933749,0.0219990266487002,0.0073663193048466,0.0173608623662743,
1.8,1.8,1,1,1,0,30.2968149084954,0.022198399528861,0.00714322097852789,0.0171405269878092,
1.81,1.81,1,1,1,0,30.2966875035621,0.0220987480133772,0.00754205987748839,0.0167593151899461,
1.82,1.82,1,1,1,0,30.2961644727833,0.0225655501708388,0.00766206079314761,0.0166973713788583,
1.83,1.83,1,1,1,0,30.2970987756275,0.0232532853260636,0.00727814633868411,0.0166196842553251,
1.84,1.84,1,1,1,0,30.2967433829188,0.0217300141230226,0.00755542435664795,0.0169360946622767,
1.85,1.85,1,1,1,0,30.2979481418495,0.0219260808080435,0.00782229484467395,0.0169598782459035,
1.86,1.86,1,1,1,0,30.2980889578284,0.0235890736803412,0.00733288482388295,0.0170811390245142,
1.87,1.87,1,1,1,0,30.2974452276391,0.021747057326138,0.00746969611228295,0.0172520968435391,
1.88,1.88,1,1,1,0,30.2963008184136,0.0215145526453853,0.00773039658815339,0.0173770671512379,
1.89,1.89,1,1,1,0,30.2967232663504,0.0228194985538721,0.00725719158041999,0.0167774191118113,
1.9,1.9,1,1,1,0,30.2963276405049,0.0221750931814313,0.00732964847788438,0.0165741227186311,
1.91,1.91,1,1,1,0,30.2968082029726,0.0211925012990832,0.00750983611589111,0.0169079448386706,
1.921,1.921,1,1,1,0,30.2968439657609,0.022042216733098,0.0073533040716581,0.0172012106239436,
1.931,1.931,1,1,1,0,30.2974072296765,0.0237730797380209,0.00750035990854278,0.017223680785788,
1.941,1.941,1,1,1,0,30.2973960538052,0.0215113395825028,0.00766294554960765,0.0168580880577693,
1.951,1.951,1,1,1,0,30.2965980965914,0.0209389952942729,0.00744622678302713,0.0167647286175626,
1.961,1.961,1,1,1,0,30.2962002355716,0.0243868213146925,0.0075392426266551,0.017311218572689,
1.971,1.971,1,1,1,0,30.2970652480135,0.0216938089579344,0.00765151356482133,0.0169038093349504,
1.981,1.981,1,1,1,0,30.2968193788439,0.0211106613278389,0.00743053399739377,0.0170739862004831,
1.991,1.991,1,1,1,0,30.2971077163246,0.0235302373766899,0.0074340497401692,0.0168690746534895,
2.002,2.002,1,1,1,0,30.2968417305866,0.0233304221183062,0.0073935837736547,0.0170144917435301,
2.013,2.013,1,1,1,0,30.2969378430802,0.023196917027235,0.00773435470915884,0.0172720644044198,
2.023,2.023,1,1,1,0,30.2975011069958,0.021789176389575,0.00744904403386041,0.0167023410828998,
2.034,2.034,1,1,1,0,30.2964058716043,0.0221492489799857,0.00758795079808682,0.0169764380097272,
2.045,2.045,1,1,1,0,30.2965936262428,0.022594234906137,0.0075171935643483,0.0166897215844232,
2.055,2.055,1,1,1,0,30.2970473666193,0.0219200039282441,0.00746517919772379,0.0171180745749078,
2.066,2.066,1,1,1,0,30.2959275443108,0.02241600304842,0.00762385328391269,0.0172171846726481,
2.076,2.076,1,1,1,0,30.2961242396464,0.02257339656353,0.0074689277711466,0.0167513459145368,
2.087,2.087,1,1,1,0,30.2971993584696,0.0237374100834131,0.00758112886011861,0.0172457782198293,
2.098,2.098,1,1,1,0,30.2970339555737,0.0228498131036758,0.00766583264963515,0.0166947622842366,
2.108,2.108,1,1,1,0,30.2970853645819,0.0207895645871758,0.00768108305703849,0.0171516200771874,
2.119,2.119,1,1,1,0,30.2965891558943,0.0209733145311475,0.00736992817988098,0.0168175139740597,
2.13,2.13,1,1,1,0,30.2969356079059,0.0214739004150033,0.00706394214309528,0.016818543412754,
2.14,2.14,1,1,1,0,30.2976151008835,0.0235979212448001,0.0073441538272161,0.0169406028938,
2.151,2.151,1,1,1,0,30.2971077163246,0.0227987999096513,0.00740264088583775,0.0171382728720475,
2.162,2.162,1,1,1,0,30.2968171436697,0.0226088799536228,0.00735456135715395,0.0170674900873433,
2.172,2.172,1,1,1,0,30.2968350250638,0.0222625909373164,0.00734101061347648,0.0170919836286903,
