Total Time (s),Cycle Elapsed Time (s),Total Cycles,Elapsed Cycles,Step,"Total Cycle Count(8800 (0,1) Waveform)","Position(8800 (0,1):Position) (mm)","Load(8800 (0,1):Load) (kN)","Strain(8800 (0,1):Axial Strain) (%)","Strain(8800 (0,1):Transverse Strain) (%)",width,thickness
1.705,1.705,1,1,1,0,41.49149077,0.002937228,0.000524917,0.003239495,,
1.715,1.715,1,1,1,0,41.49175005,0.001059589,0.000632741,0.00323648,,
1.725,1.725,1,1,1,0,41.49074869,0.001213932,0.00033204,0.003399599,,
1.735,1.735,1,1,1,0,41.49132984,0.002428703,0.000323588,0.003147216,,
1.745,1.745,1,1,1,0,41.49131196,0.00156695,0.000660913,0.003290624,,
1.755,1.755,1,1,1,0,41.49164276,0.000687898,0.000697165,0.00320746,,
1.765,1.765,1,1,1,0,41.49051624,0.002251263,0.000865851,0.003330769,,
1.775,1.775,1,1,1,0,41.49158018,0.001263781,0.000610505,0.003182477,,
1.785,1.785,1,1,1,0,41.49163829,0.001388555,0.000590179,0.00365787,,
1.796,1.796,1,1,1,0,41.49158018,0.001237215,0.00057607,0.003078015,,
1.806,1.806,1,1,1,0,41.49175452,0.002124324,0.000567781,0.003211532,,
1.816,1.816,1,1,1,0,41.49109291,0.001959852,0.000980659,0.003429906,,
1.826,1.826,1,1,1,0,41.49142372,0.001655752,0.000605732,0.003071827,,
1.836,1.836,1,1,1,0,41.49145054,0.001589651,0.000767456,0.003051975,,
1.846,1.846,1,1,1,0,41.49077999,0.001995754,0.000461703,0.003340677,,
1.856,1.856,1,1,1,0,41.4916517,0.00122278,0.000895583,0.003269925,,
1.866,1.866,1,1,1,0,41.49154889,0.00180006,0.000721356,0.003539815,,
1.876,1.876,1,1,1,0,41.49066376,0.001512212,0.000584777,0.003303071,,
1.892,1.892,1,1,1,0,41.49144607,0.001655263,0.000720494,0.003284559,,
1.902,1.902,1,1,1,0,41.49212109,0.002846937,0.000728108,0.003043142,,
1.912,1.912,1,1,1,0,41.49173664,0.001285551,0.001029135,0.003600923,,
1.923,1.923,1,1,1,0,41.49128067,0.002139923,0.0007733,0.003294538,,
1.933,1.933,1,1,1,0,41.49124043,0.001586927,0.000812253,0.00333842,,
1.943,1.943,1,1,1,0,41.49154889,0.002013939,0.000341889,0.003222957,,
1.953,1.953,1,1,1,0,41.49157571,0.001903879,0.000582496,0.003237538,,
1.962,1.962,1,1,1,0,41.49164723,0.002244185,0.00112839,0.003313438,,
1.972,1.972,1,1,1,0,41.49152653,0.001732795,0.000618817,0.003267827,,
1.982,1.982,1,1,1,0,41.49203615,0.001570676,0.001013326,0.003588194,,
1.992,1.992,1,1,1,0,41.49086045,0.002430053,0.000633788,0.003521021,,
2.002,2.002,1,1,1,0,41.49195569,0.001526088,0.000958727,0.003285423,,
2.013,2.013,1,1,1,0,41.49208086,0.002260413,0.00052629,0.003597556,,
2.023,2.023,1,1,1,0,41.49153995,0.002160552,0.000609714,0.003676259,,
2.034,2.034,1,1,1,0,41.49153548,0.00121959,0.0006933,0.003462699,,
2.045,2.045,1,1,1,0,41.49163382,0.001018494,0.000767247,0.003435565,,
2.055,2.055,1,1,1,0,41.49145054,0.002246047,0.000793487,0.003002891,,
2.058,2.058,1,1,1,0,41.49182605,0.00376075,0.000760844,0.003352507,,
2.068,2.068,1,1,1,0,41.49213003,0.001298077,0.000535813,0.00369835,,
2.079,2.079,1,1,1,0,41.49137901,0.001641177,0.00071309,0.003425357,,
2.09,2.09,1,1,1,0,41.49152653,0.00171056,0.000529131,0.003303194,,
2.1,2.1,1,1,1,0,41.49232673,0.002178433,0.000510807,0.003330804,,
2.111,2.111,1,1,1,0,41.49140584,0.001408556,0.00062508,0.002900545,,
2.122,2.122,1,1,1,0,41.49174111,0.001764414,0.000377931,0.003329482,,
2.132,2.132,1,1,1,0,41.49063694,0.002988777,0.000426662,0.003207372,,
2.143,2.143,1,1,1,0,41.49144607,0.003393111,0.000474066,0.00322137,,
2.154,2.154,1,1,1,0,41.49116444,0.002803886,0.000595744,0.003123026,,
2.164,2.164,1,1,1,0,41.49169641,0.000824104,0.000884943,0.003544946,,
2.175,2.175,1,1,1,0,41.49087833,0.000691297,0.000410341,0.003411464,,
2.186,2.186,1,1,1,0,41.49120467,0.00159943,0.000758655,0.003419028,,
2.196,2.196,1,1,1,0,41.49255024,0.002813642,0.000286056,0.003224861,,
2.207,2.207,1,1,1,0,41.49223732,0.001821225,0.000551087,0.003282196,,
2.217,2.217,1,1,1,0,41.49149524,0.00149468,0.000489503,0.002535396,,
2.228,2.228,1,1,1,0,41.49151312,0.002475595,0.00058678,0.003641774,,
2.239,2.239,1,1,1,0,41.49106162,0.00177871,0.000622985,0.003355064,,
2.249,2.249,1,1,1,0,41.4919691,0.000564591,0.00061458,0.00326624,,
2.26,2.26,1,1,1,0,41.49131196,0.000480749,0.000488316,0.003565221,,
2.271,2.271,1,1,1,0,41.49113761,0.000920612,0.000538817,0.003176641,,
2.281,2.281,1,1,1,0,41.49149971,0.002618204,0.000617979,0.00334676,,
2.292,2.292,1,1,1,0,41.49107056,0.002773665,0.000433717,0.003323064,,
2.303,2.303,1,1,1,0,41.49178582,0.001090765,0.000220141,0.003438615,,
2.313,2.313,1,1,1,0,41.49181264,0.000423333,0.000551716,0.003358625,,
2.324,2.324,1,1,1,0,41.49193334,0.001985417,0.000718003,0.00318149,,
2.334,2.334,1,1,1,0,41.49188863,0.002289168,0.000431971,0.003267898,,
2.345,2.345,1,1,1,0,41.49128067,0.00129859,0.000708364,0.003507957,,
2.356,2.356,1,1,1,0,41.49118679,0.00137731,0.000382797,0.003074754,,
2.366,2.366,1,1,1,0,41.49147289,0.002191938,0.000678329,0.00317479,,
2.377,2.377,1,1,1,0,41.49135219,0.00199487,0.00066841,0.003324316,,
2.388,2.388,1,1,1,0,41.49126278,0.001474097,0.000826153,0.003185545,,
2.398,2.398,1,1,1,0,41.4917277,0.000820844,0.00048338,0.003562154,,
2.409,2.409,1,1,1,0,41.49183499,0.000859681,0.000269455,0.0033859,,
2.42,2.42,1,1,1,0,41.49248319,0.0015483,0.000312901,0.003210192,,
2.43,2.43,1,1,1,0,41.49114208,0.001828698,0.000481703,0.003213102,,
2.441,2.441,1,1,1,0,41.49095433,0.001083477,0.00043842,0.003273751,,
2.451,2.451,1,1,1,0,41.49169194,0.001096958,0.000346568,0.003506758,,
2.462,2.462,1,1,1,0,41.4920451,0.001413422,0.000244007,0.002965743,,
2.473,2.473,1,1,1,0,41.49193334,0.001654192,0.000148918,0.003399669,,
2.483,2.483,1,1,1,0,41.49128961,0.00047097,0.000308012,0.003049912,,
2.494,2.494,1,1,1,0,41.49173664,0.00113782,0.000286847,0.003215376,,
